min_x,min_y,max_x,max_y,frame,label
700,320,730,340,0,1
900,140,960,220,1,0
720,340,760,370,2,1
710,370,750,410,3,1
870,340,890,360,4,0
700,390,720,430,7,1
670,390,700,410,8,1
660,370,690,390,10,1
650,170,690,370,13,0
660,350,690,370,15,1
390,320,1040,520,16,0
690,390,700,400,19,1
700,360,710,380,20,1
670,400,690,420,22,1
690,390,720,440,23,1
670,370,700,400,25,1
480,220,770,530,26,0
620,440,640,460,27,1
620,440,630,450,28,1
670,370,690,400,30,1
710,400,720,430,31,1
720,390,750,410,32,1
370,320,620,530,33,0
700,90,750,280,36,0
670,340,720,380,37,1
670,380,680,390,38,1
400,430,580,660,40,0
530,290,630,420,41,0
930,640,940,650,42,0
680,390,730,430,43,1
730,390,750,420,44,1
530,370,590,510,46,0
740,350,760,370,47,1
730,330,770,370,48,1
760,330,770,340,49,1
970,390,980,400,50,0
710,350,730,370,52,1
700,70,750,220,53,0
670,330,710,380,54,1
610,260,650,300,57,1
660,260,750,340,58,0
890,340,910,360,60,0
690,130,750,260,62,1
670,330,730,370,63,1
810,540,990,630,64,0
400,370,480,420,66,0
740,350,760,370,67,1
720,370,750,410,68,1
690,420,990,620,69,0
700,390,770,450,71,1
520,390,960,690,72,0
690,370,720,400,74,1
920,130,970,180,76,0
660,400,680,420,77,1
700,150,740,160,78,0
380,340,890,580,79,0
520,220,640,360,81,0
620,430,640,450,82,1
590,450,620,490,84,1
700,90,750,240,85,0
500,530,540,570,86,1
700,270,710,280,88,0
690,200,750,270,89,0
590,430,660,490,91,1
650,390,700,430,92,1
700,380,730,420,93,1
700,330,730,370,95,1
950,630,960,640,97,0
590,540,690,660,100,0
680,330,700,360,101,1
670,350,690,370,102,1
670,360,680,370,103,1
630,170,900,450,107,0
670,330,690,350,108,1
470,140,560,300,109,0
690,160,750,310,110,0
710,340,720,350,112,1
540,230,600,260,113,0
520,330,550,350,114,0
720,400,730,410,116,1
740,400,750,410,117,1
560,580,570,590,118,0
750,380,760,390,119,1
810,340,1030,440,121,0
1030,350,1070,420,122,0
1070,370,1080,400,123,0
710,410,730,430,124,1
400,490,430,520,125,0
390,390,880,540,129,0
650,80,1010,650,131,0
730,340,760,380,133,1
780,290,800,310,136,1
430,330,440,340,138,0
810,250,850,280,139,1
840,220,880,260,140,1
860,240,870,250,141,1
700,40,750,160,142,0
920,170,930,180,144,1
730,310,790,370,150,1
700,330,740,360,151,1
330,0,350,10,152,0
660,340,710,380,153,1
670,330,700,340,155,1
670,360,680,370,157,1
650,360,680,380,158,1
700,360,710,370,159,1
930,130,960,140,160,0
700,320,710,330,161,1
490,50,910,640,163,0
700,360,720,370,165,1
690,170,750,260,168,0
690,340,700,350,169,1
670,350,700,400,170,1
690,390,710,430,171,1
710,400,720,430,172,1
720,390,760,420,173,1
910,340,1070,450,174,0
780,430,790,450,175,1
520,610,560,680,177,0
710,410,720,420,179,1
730,330,770,390,180,1
770,280,820,330,181,1
820,430,990,690,185,0
720,330,770,380,187,1
700,380,730,440,188,1
700,450,720,470,189,1
700,490,710,500,190,1
700,490,730,520,191,1
530,230,680,300,192,0
700,480,720,490,194,1
690,500,720,570,195,1
690,580,720,660,196,1
680,660,720,710,197,1
500,490,510,500,198,0
800,410,910,570,199,0
700,50,710,60,200,0
450,220,500,290,201,0
420,100,1070,580,203,0
530,230,540,240,205,0
420,160,460,260,206,0
690,510,720,600,209,1
700,390,730,470,210,1
670,430,870,650,211,0
710,310,730,340,212,1
710,300,730,310,213,1
930,340,1020,380,214,0
380,400,490,550,217,0
360,320,390,400,218,0
720,320,730,330,219,1
720,320,750,350,221,1
690,360,720,380,222,1
670,330,700,360,224,1
670,350,690,370,225,1
620,390,630,400,226,0
660,360,690,400,227,1
670,380,700,410,228,1
610,170,650,260,229,0
500,190,550,220,230,0
700,120,720,210,231,0
470,130,1010,370,234,0
710,390,730,410,236,1
730,370,770,410,237,1
770,370,800,380,238,1
830,370,840,380,239,1
370,320,530,510,240,0
720,220,730,230,241,0
520,280,1050,420,244,0
360,320,410,360,245,0
490,110,510,130,246,0
860,520,930,550,249,0
790,370,800,380,250,1
690,330,750,380,251,1
760,340,770,350,254,0
710,310,730,330,255,1
500,280,910,690,256,0
790,410,800,420,258,0
940,130,970,190,260,0
950,130,960,140,261,0
700,50,710,100,262,0
480,150,640,300,264,0
700,250,740,280,265,0
710,360,720,370,266,1
710,370,720,380,269,1
660,330,710,370,270,1
670,360,680,370,271,1
650,360,670,390,272,1
680,340,700,350,273,1
700,460,750,590,274,0
660,380,680,390,276,1
930,340,1070,440,277,0
660,380,690,420,278,1
650,410,670,440,279,1
590,440,650,490,280,1
560,490,580,510,281,1
480,370,1060,420,284,0
540,510,550,530,286,1
600,420,660,480,288,1
520,130,1010,410,289,0
630,150,1070,400,291,0
570,260,760,430,293,0
810,380,840,400,294,0
510,220,550,260,295,0
720,340,760,370,296,1
700,330,740,370,299,1
670,330,710,370,300,1
690,340,710,370,304,1
750,210,860,720,309,0
550,200,560,210,311,1
660,310,690,360,317,1
670,340,700,380,318,1
400,110,1040,700,319,0
360,360,590,650,322,0
690,360,700,370,324,1
680,380,700,400,325,1
480,460,860,530,326,0
830,380,980,420,327,0
490,520,500,530,328,0
430,620,480,670,330,0
700,400,720,440,331,1
780,210,870,300,334,0
430,320,740,350,335,0
750,420,760,430,336,1
730,360,760,400,337,1
740,320,780,360,338,1
890,340,1070,420,339,0
900,420,940,460,340,0
540,440,600,500,343,0
930,150,940,160,344,1
510,450,600,540,345,0
830,240,860,270,348,1
650,280,830,440,349,0
670,360,730,410,351,1
660,410,680,430,352,1
510,520,790,550,354,0
490,110,1030,520,355,0
680,370,710,390,357,1
710,380,750,420,358,1
740,360,760,380,359,1
740,360,760,370,362,1
700,390,730,420,366,1
690,400,710,420,367,1
690,330,730,390,368,1
670,350,690,370,369,1
670,330,680,340,370,1
650,300,660,310,373,1
620,280,650,300,374,1
600,260,630,280,375,1
480,280,490,290,377,0
710,140,750,220,378,0
400,190,1010,610,381,0
550,350,870,610,383,0
630,290,680,350,385,1
700,190,740,200,387,0
610,170,650,230,389,0
700,350,760,390,390,1
520,210,1070,380,392,0
720,390,750,410,393,1
440,210,740,590,396,0
750,420,780,450,398,1
710,380,760,400,399,1
440,610,650,660,401,0
710,380,720,400,402,1
620,170,1070,500,404,0
530,490,540,500,409,0
730,610,740,620,411,0
530,240,540,250,421,0
390,280,730,670,422,0
730,370,770,400,423,1
680,380,740,410,424,1
390,390,840,570,427,0
520,130,1030,420,429,0
750,340,1070,420,432,0
900,370,950,380,433,0
670,380,690,410,434,1
580,50,950,450,435,0
660,390,680,420,439,1
670,400,680,410,443,1
720,400,730,420,448,1
670,400,680,410,449,1
410,370,650,610,450,0
390,690,420,720,452,0
390,370,570,430,453,0
370,530,450,650,0,0
700,320,720,340,2,1
410,320,420,330,3,0
670,360,710,400,4,1
390,660,510,720,11,0
670,340,680,350,12,1
690,300,750,360,14,0
700,350,750,390,16,1
680,350,710,420,17,1
700,400,720,440,18,1
680,400,690,410,19,1
710,380,760,400,20,1
930,350,940,360,24,1
420,220,430,230,25,0
420,230,430,240,26,0
800,430,900,670,27,0
480,160,900,570,31,0
780,470,950,650,33,0
910,140,970,200,34,0
510,280,680,430,35,0
690,360,700,370,36,1
390,370,770,570,39,0
620,420,650,460,42,1
550,470,610,520,43,1
550,620,610,680,44,0
510,530,530,570,46,1
480,250,670,290,47,0
670,250,680,260,48,0
580,450,630,490,52,1
640,410,670,440,53,1
690,290,800,400,54,0
730,370,750,390,55,1
